date,open,high,low,close,volume
2026-07-16,114.13,114.52,105.48,106.02,28465764
2026-07-17,100.37,104.11,96.59,99.96,27608551
2026-07-20,102.49,102.60,98.61,99.28,18740065
2026-07-21,102.815,108.21,102.815,106.36,19670331
2026-07-22,104.72,106.885,104.33,104.48,11151678
2026-07-23,101.88,104.12,99.32,101.58,16539905
2026-07-24,100.07,100.08,93.03,94.91,24405037
2026-07-27,96.98,99.4499,93.20,95.65,16616634
2026-07-28,92.665,93.87,88.21,92.76,21666181
2026-07-29,92.21,93.3199,88.6001,89.84,23046581
2026-07-30,90.912,92.57,86.21,86.60,29692521
2026-07-31,86.131,89.50,83.68,86.56,22953459
2026-08-03,86.685,92.35,85.30,90.34,19740541
2026-08-04,92.615,95.60,90.0717,93.51,22639539
2026-08-05,93.96,95.55,92.3151,92.80,15234455
2026-08-06,90.71,92.60,90.21,90.71,12443575
2026-08-07,92.94,95.75,92.52,93.28,14860536
